,title,vote_average,overview,noverviwe
24,The Mother Of Invention,10,A mockumentary about an aspiring inventor who dreams of winning an annual young inventor award. The only problem is... he's never made an invention that works.,A mockumentary about an aspiring inventor who dreams of winning an annual young inventor award The only problem is hes never made an invention that works
25,The Human Surge,10,Buenos Aires. Exe. 25 years old. has just lost his job and is not looking for another one. His neighbors and friends seem as odd to him as they always do. Online. he meets Alf. a boy from Mozambique who is also bored with his job and who is about to follow Archie. another boy who has run away into the jungle. Through the dense vegetation of the forest. Archie tracks ants back to their nest. One of them wanders off course and comes across Canh. a Filipino. sitting on top of a giant heap of earth and who is about to go back to his strange. beautiful home town. where he too has a miserable job.,Buenos Aires Exe 25 years old has just lost his job and is not looking for another one His neighbors and friends seem as odd to him as they always do Online he meets Alf a boy from Mozambique who is also bored with his job and who is about to follow Archie another boy who has run away into the jungle Through the dense vegetation of the forest Archie tracks ants back to their nest One of them wanders off course and comes across Canh a Filipino sitting on top of a giant heap of earth and who is about to go back to his strange beautiful home town where he too has a miserable job
26,Tokyo Ghoul,10,Ken Kaneki (Masataka Kubota) is a university student. He becomes injured by Rize. a human eating ghoul. Ken is saved from the ghoul when a steel frame falls on Rize. They are both sent to the hospital. Ken receives an organ transplant from Rize and becomes a half ghoul.,Ken Kaneki Masataka Kubota is a university student He becomes injured by Rize a human eating ghoul Ken is saved from the ghoul when a steel frame falls on Rize They are both sent to the hospital Ken receives an organ transplant from Rize and becomes a half ghoul
27,Nocturne Indien,10,he enigmatic but vivid imagery of this loosely plotted film is based on a similarly evocative novel by the Italian author Antonio Tabucchi. Noturno Indiano. An old friend of the hero's has been living in Bombay with a prostitute. His friend Peter Schlemihl (Otto Tausig) is a concentration camp survivor. who went to India after being captivated by a photograph he saw there. When the prostitute writes to him in Europe asking that he rescue his friend from a mysterious malaise. he flies into India to try and help. When he gets to Bombay. he discovers that his friend has disappeared. Following the clues left behind by the friend. and based on his acquaintance with him. he journeys to Madras to speak to a Theosophist dignitary there. and then journeys on to Portugues Goa. With each step of his journey. the hero (Jean-Hugues Anglade) becomes more identified with his friend. and re-enacts in his own person the transformations he must have experienced.,he enigmatic but vivid imagery of this loosely plotted film is based on a similarly evocative novel by the Italian author Antonio Tabucchi Noturno Indiano An old friend of the heros has been living in Bombay with a prostitute His friend Peter Schlemihl Otto Tausig is a concentration camp survivor who went to India after being captivated by a photograph he saw there When the prostitute writes to him in Europe asking that he rescue his friend from a mysterious malaise he flies into India to try and help When he gets to Bombay he discovers that his friend has disappeared Following the clues left behind by the friend and based on his acquaintance with him he journeys to Madras to speak to a Theosophist dignitary there and then journeys on to Portugues Goa With each step of his journey the hero JeanHugues Anglade becomes more identified with his friend and reenacts in his own person the transformations he must have experienced
28,Maidan,10,A chronicle of the civil uprising against the regime of Ukrainian president Viktor Yanukovych that took place in Kiev in the winter of 2013/14. The film follows the progress of the revolution: from peaceful rallies. half a million strong in the Maidan square. to the bloody street battles between protesters and riot police.,A chronicle of the civil uprising against the regime of Ukrainian president Viktor Yanukovych that took place in Kiev in the winter of 201314 The film follows the progress of the revolution from peaceful rallies half a million strong in the Maidan square to the bloody street battles between protesters and riot police
29,Canal Zone,10,CANAL ZONE is about the people who live and work in the Panama Canal Zone and shows both the operation of the Canal and the various governmental agencies â business. military. and civilian â related to the functioning of the Canal and the lives of the Americans in the zone. The film includes sequences of ships in transit. the work of special canal pilots. aspects of the civil government. work of the military. and the social. religious and recreational life of the Zonians.,CANAL ZONE is about the people who live and work in the Panama Canal Zone and shows both the operation of the Canal and the various governmental agencies â business military and civilian â related to the functioning of the Canal and the lives of the Americans in the zone The film includes sequences of ships in transit the work of special canal pilots aspects of the civil government work of the military and the social religious and recreational life of the Zonians
30,Oh. Bomb!,10,During the mayoral election. two ex-prisoners decide to replace the lucky pen of an annoying candidate with a mini-bomb,During the mayoral election two exprisoners decide to replace the lucky pen of an annoying candidate with a minibomb
31,Vessel of Wrath,10,Ginger Ted. AKA Edward Claude Wilson (Charles Laughton) a drunkard and womanizer. and Miss Jones.(Elsa Lanchester) a missionary. live in the Alas Islands. During a cholera epidemic. Ginger Ted and Miss Jones are sent to an outlying part of the islands to run a hospital; on their return. their motorboat breaks down. and they are marooned overnight on a small island.,Ginger Ted AKA Edward Claude Wilson Charles Laughton a drunkard and womanizer and Miss JonesElsa Lanchester a missionary live in the Alas Islands During a cholera epidemic Ginger Ted and Miss Jones are sent to an outlying part of the islands to run a hospital on their return their motorboat breaks down and they are marooned overnight on a small island
32,People of a Feather,10,The Inuit of Belcher Islands struggle to adapt as their environment changes.,The Inuit of Belcher Islands struggle to adapt as their environment changes
33,Harold and Lillian: A Hollywood Love Story,10,At once a chronicle of a remarkable sixty-year partnership and a tribute to the unsung talents behind a staggering number of cinema classics. this loving film introduces the world to storyboard artist Harold Michelson and film researcher Lillian Michelson. Though largely uncredited. they left an indelible impression on films like The Birds. The Graduate and Rosemary's Baby. Through personal letters. rare storyboards and a wealth of interviews. Daniel Raim pulls the curtain back to reveal their love and work and its impact on Hollywood history.,At once a chronicle of a remarkable sixtyyear partnership and a tribute to the unsung talents behind a staggering number of cinema classics this loving film introduces the world to storyboard artist Harold Michelson and film researcher Lillian Michelson Though largely uncredited they left an indelible impression on films like The Birds The Graduate and Rosemarys Baby Through personal letters rare storyboards and a wealth of interviews Daniel Raim pulls the curtain back to reveal their love and work and its impact on Hollywood history
34,Siccin 3: CÃ¼rmÃ¼ Ask,10,After a terrible car accident. Sedat will do anything to save a childhood friend â even if it means dealing with demons and ghosts.,After a terrible car accident Sedat will do anything to save a childhood friend â even if it means dealing with demons and ghosts
35,Forever,10,PÃ¨re-Lachaise - one of the world's most famous and beautiful cemeteries - is the final resting-place of a gifted group of artists from all eras and corners of the world. Some - such as Piaf. Proust. Jim Morrison and Chopin - are worshiped to this day. Others have fallen into oblivion. or are visited occasionally by a single admirer. In Forever we see the mysterious. calming and consoling beauty of this unique cemetery through the eyes of people of flesh and blood. Many come for their 'own' beloved: husbands. wives. family and friends. Others Honor 'their' artist by leaving behind a personal message or a flower. While admirers share with us the importance of art and beauty in their lives. the graveyard gradually reveals itself as a source of inspiration for the living. Death offers little consolation except for the passing of time. the melancholia of a moss-covered tomb. and the beauty and power of a piece of music. a poem or a painting Written by Cobos,PÃ¨reLachaise  one of the worlds most famous and beautiful cemeteries  is the final restingplace of a gifted group of artists from all eras and corners of the world Some  such as Piaf Proust Jim Morrison and Chopin  are worshiped to this day Others have fallen into oblivion or are visited occasionally by a single admirer In Forever we see the mysterious calming and consoling beauty of this unique cemetery through the eyes of people of flesh and blood Many come for their own beloved husbands wives family and friends Others Honor their artist by leaving behind a personal message or a flower While admirers share with us the importance of art and beauty in their lives the graveyard gradually reveals itself as a source of inspiration for the living Death offers little consolation except for the passing of time the melancholia of a mosscovered tomb and the beauty and power of a piece of music a poem or a painting Written by Cobos
36,Great Transport,10,This WW2 epic was one of the last movies of that kind made in former Yugoslavia. It tells the true story of great transport of Partizans from Vojvodina to Bosnia in 1943.,This WW2 epic was one of the last movies of that kind made in former Yugoslavia It tells the true story of great transport of Partizans from Vojvodina to Bosnia in 1943
37,Mad at the Moon,10,A young woman on the frontier marries a meek farmer who has an annoying habit of going through a rather drastic change every full moon.,A young woman on the frontier marries a meek farmer who has an annoying habit of going through a rather drastic change every full moon
38,George Lopez: America's Mexican,10,Superstar comedian/actor George Lopez. one of the premier comedic talents in the entertainment industry. made his HBO solo debut performed live in front of a packed house at the Dodge Theater in Phoenix. Arizona. Lopez delivers a hilarious routine touching on his own Latino roots. immigration and naturalization. modern-day kids. old-school values. interacial relationships. and the future.,Superstar comedianactor George Lopez one of the premier comedic talents in the entertainment industry made his HBO solo debut performed live in front of a packed house at the Dodge Theater in Phoenix Arizona Lopez delivers a hilarious routine touching on his own Latino roots immigration and naturalization modernday kids oldschool values interacial relationships and the future
39,Something in the Wind,10,A grandson of a recently deceased millionaire mistakes a beautiful female disc jockey for her aunt. who once dated the grandfather.,A grandson of a recently deceased millionaire mistakes a beautiful female disc jockey for her aunt who once dated the grandfather
40,Ollie Hopnoodle's Haven of Bliss,10,From Jean Shepherd (A Christmas Story) comes the story of 14 year old Ralphie's first job. and the family vacation the family is planning to a rustic fishing cabin on Lake Michigan. Originally made for the Disney Channel. this film is a delightful family comedy.,From Jean Shepherd A Christmas Story comes the story of 14 year old Ralphies first job and the family vacation the family is planning to a rustic fishing cabin on Lake Michigan Originally made for the Disney Channel this film is a delightful family comedy
