,title,vote_average,overview,noverviwe
261,Deadline,9,A documentary on Illinois Governor George Ryan. who. with 60 days left in office. makes a decision on the fate of death row prisoners.,A documentary on Illinois Governor George Ryan who with 60 days left in office makes a decision on the fate of death row prisoners
262,The Cinema Snob Movie,9,When small time exploitation filmmakers Craig (Brad Jones) and Neil (Jake Norvell) are denied filming permits by the snooty head of the local film commission (Ryan Mitchelle). Craigâs only option is to go undercover as a pretentious film snob. But once accepted by the group Craig finds himself thrust into a strange and deadly mystery surrounding the very secretive club.,When small time exploitation filmmakers Craig Brad Jones and Neil Jake Norvell are denied filming permits by the snooty head of the local film commission Ryan Mitchelle Craigâs only option is to go undercover as a pretentious film snob But once accepted by the group Craig finds himself thrust into a strange and deadly mystery surrounding the very secretive club
263,Cuban Rafters,9,The story of Cuban refugees who risked their lives in homemade rafts to reach the United States. and what life is like for those who succeed.,The story of Cuban refugees who risked their lives in homemade rafts to reach the United States and what life is like for those who succeed
264,Nice People,9,As the first African team ever. Somalia has just signed up for the Bandy World Championships. The young players doesn't live in Somalia. They live in BorlÃ¤nge. Sweden. where xenophobia has taken hold.,As the first African team ever Somalia has just signed up for the Bandy World Championships The young players doesnt live in Somalia They live in BorlÃ¤nge Sweden where xenophobia has taken hold
265,Queens Of Evil,9,A young hippie kills a man. and seeks refuge at the lakeside house of three beautiful sisters. who seem to be hiding a dark secret.,A young hippie kills a man and seeks refuge at the lakeside house of three beautiful sisters who seem to be hiding a dark secret
266,The False Servant,9,A young woman disguises herself as a knight to expose a gold-digging man divided between her and a Countess.,A young woman disguises herself as a knight to expose a golddigging man divided between her and a Countess
267,Say Nothing,9,Housewife Grace Needham (Nastassja Kinski) has a one-night stand with Julian Grant (William Baldwin). who then becomes obsessed with sinking her marriage to husband Matt (Hart Bochner). The twist here is that Julian is a millionaire global powerbroker. and Matt works for him! It's a titanic battle of testosterone as the guys duke it out while Grace simmers angrily.,Housewife Grace Needham Nastassja Kinski has a onenight stand with Julian Grant William Baldwin who then becomes obsessed with sinking her marriage to husband Matt Hart Bochner The twist here is that Julian is a millionaire global powerbroker and Matt works for him Its a titanic battle of testosterone as the guys duke it out while Grace simmers angrily
268,Shree 420,9,Wearing torn Japanese shoes. English trousers. a red Russian cap. and a Hindustani heart. orphaned Ranbir Raj comes to Bombay to make his fortune. He pawns his gold medal. gambles with the money. loses everything. & the balance is pick-pocketed. He ends up on the beach. meets with Vidya Shastri. a teacher who runs a private school. and both fall in love. Ranbir gets a job in a laundry. When he goes to deliver some clothes to Maya. she notices that he has a way with cards. gets him to accompany her to a casino of sorts. where he wins Rs.20000/-. which unfortunately is pocketed by Maya. Then a rich industrialist. Sonanand Dharmachand. approaches Ranbir. hires him to work for him. and soon Ranbir is on his way to a wealthy life. Vidya gets a first hand look at this wealthy life. and decides to break up with him. Sonachand teaches Ranbir that in order to make money one must never discriminate between the rich and poor...,Wearing torn Japanese shoes English trousers a red Russian cap and a Hindustani heart orphaned Ranbir Raj comes to Bombay to make his fortune He pawns his gold medal gambles with the money loses everything  the balance is pickpocketed He ends up on the beach meets with Vidya Shastri a teacher who runs a private school and both fall in love Ranbir gets a job in a laundry When he goes to deliver some clothes to Maya she notices that he has a way with cards gets him to accompany her to a casino of sorts where he wins Rs20000 which unfortunately is pocketed by Maya Then a rich industrialist Sonanand Dharmachand approaches Ranbir hires him to work for him and soon Ranbir is on his way to a wealthy life Vidya gets a first hand look at this wealthy life and decides to break up with him Sonachand teaches Ranbir that in order to make money one must never discriminate between the rich and poor
269,Stretch and Bobbito: Radio That Changed Lives,9,"Exploring the social impact of what the Source Magazine in 1998 voted. ""The Best Hip Hop Radio Show Of All-Time."" The documentary film is the story of quirky friends who became unlikely legends by engaging their listeners and breaking the biggest rap artists ever.",Exploring the social impact of what the Source Magazine in 1998 voted The Best Hip Hop Radio Show Of AllTime The documentary film is the story of quirky friends who became unlikely legends by engaging their listeners and breaking the biggest rap artists ever
270,Into the Woods,9,"Into the Woods takes the stories of the Brothers Grimm and gives them a dark and humorous twist.  The popular tales of Red Ridinghood. Jack (of Beanstalk fame). Cinderella and Rapunzel are interwoven with that of the Baker and his Wife and their quest to have a child. However this re-telling goes beyond ""happily ever after"" as the familiar characters find themselves in unfamiliar circumstances and hopes and dreams are questioned and revisited.",Into the Woods takes the stories of the Brothers Grimm and gives them a dark and humorous twist  The popular tales of Red Ridinghood Jack of Beanstalk fame Cinderella and Rapunzel are interwoven with that of the Baker and his Wife and their quest to have a child However this retelling goes beyond happily ever after as the familiar characters find themselves in unfamiliar circumstances and hopes and dreams are questioned and revisited
271,Bloodfight,9,Master martial artist Masahiro Kai is a shadow of the champion fighter and trainer he once was. After his protÃ©gÃ© was slain in a no-holds-barred. underground fight by the incomparable Chang Lee. Kai slips into a numbing alcohol-induced stupor to try to forget the past.,Master martial artist Masahiro Kai is a shadow of the champion fighter and trainer he once was After his protÃ©gÃ© was slain in a noholdsbarred underground fight by the incomparable Chang Lee Kai slips into a numbing alcoholinduced stupor to try to forget the past
272,On Modern Servitude,9,The central objective of this film is to reveal manâs condition as a modern slave within the context of the totalitarian mercantile system and to show the forms of mystification which mask his servile condition. Its aim is to attack head on the dominant world organization.  The film is composed of imagery appropriated primarily from commercial movies and documentaries.,The central objective of this film is to reveal manâs condition as a modern slave within the context of the totalitarian mercantile system and to show the forms of mystification which mask his servile condition Its aim is to attack head on the dominant world organization  The film is composed of imagery appropriated primarily from commercial movies and documentaries
273,Heimat: A Chronicle of Germany,9,This epic tale of a family and their rural life in a small German village is told against the changing backdrop of a country's turbulent history from 1919 to 1982. From the aftermath of the First World War. economic hardship. the rise and fall of Nazism. the Second World War and the decades that followed. life in the village goes on and the values and aspirations of the people at its heart are wonderfully brought to life in this gripping saga of an ordinary family living through extraordinary times.,This epic tale of a family and their rural life in a small German village is told against the changing backdrop of a countrys turbulent history from 1919 to 1982 From the aftermath of the First World War economic hardship the rise and fall of Nazism the Second World War and the decades that followed life in the village goes on and the values and aspirations of the people at its heart are wonderfully brought to life in this gripping saga of an ordinary family living through extraordinary times
274,Arabella. the Pirate's Daughter,9,Arabella is a daughter of the world's most terrifying pirate captain. She loves her father but also dreams about a life of a usual girl. One day a weird stranger is saved from the sea who will be the only friend of Arabella. At the same time a rival pirate called Raudpats plans to kidnap the girl. Will she be safe and can she ever live a normal life?,Arabella is a daughter of the worlds most terrifying pirate captain She loves her father but also dreams about a life of a usual girl One day a weird stranger is saved from the sea who will be the only friend of Arabella At the same time a rival pirate called Raudpats plans to kidnap the girl Will she be safe and can she ever live a normal life
275,Seinfeld: How It Began,9,A documentary detailing the troubled beginnings of the legendary tv show.,A documentary detailing the troubled beginnings of the legendary tv show
276,Obsession,9,Student Shurik has just two hours before the beginning of the exam and he has no lectures notes,Student Shurik has just two hours before the beginning of the exam and he has no lectures notes
277,Love Torn in a Dream,9,Raul Ruiz's Love Torn in a Dream is introduced with a fake newsreel. taking place in postwar France. in which the cast of the film meet with the producer. who explains the film's complex weave of nine narratives. A diagram in which each story is represented by a letter of the alphabet explicates the intertwining of the nine tales. As the producer explains each actor's role. the film begins. The stories. rooted in folklore. bump up against each other as the film leaps back and forth in time.,Raul Ruizs Love Torn in a Dream is introduced with a fake newsreel taking place in postwar France in which the cast of the film meet with the producer who explains the films complex weave of nine narratives A diagram in which each story is represented by a letter of the alphabet explicates the intertwining of the nine tales As the producer explains each actors role the film begins The stories rooted in folklore bump up against each other as the film leaps back and forth in time
278,Kappen!,9,When a boy is framed after an act of senseless violence by his friends. they turn against him for trying to tell the truth.,When a boy is framed after an act of senseless violence by his friends they turn against him for trying to tell the truth
279,Naz & Maalik,9,Two closeted Muslim teens hawk goods across Brooklyn and struggle to come clean about their sexuality. as their secretive behavior leads them unknowingly into the cross-hairs of the War on Terror.,Two closeted Muslim teens hawk goods across Brooklyn and struggle to come clean about their sexuality as their secretive behavior leads them unknowingly into the crosshairs of the War on Terror
280,The Grinch Grinches the Cat in the Hat,9,The Cat in the Hat is all set for a lovely picnic. but the evil Grinch changes his plans by inventing a contraption that captures noise and makes it sound ferocious. The Cat has to save the world from the clutches of the Grinch and the only way to do it is to reach Grinch's soft spot.,The Cat in the Hat is all set for a lovely picnic but the evil Grinch changes his plans by inventing a contraption that captures noise and makes it sound ferocious The Cat has to save the world from the clutches of the Grinch and the only way to do it is to reach Grinchs soft spot
281,One Little Pill,9,Bold &amp; candid. One Little Pill will reveal to the world a startling pharmaceutical discovery &amp; assault the skepticism &amp; denial perpetuating alcohol dependence.,Bold amp candid One Little Pill will reveal to the world a startling pharmaceutical discovery amp assault the skepticism amp denial perpetuating alcohol dependence
282,Along the Coast,9,"Tongue-in-cheek look at the French Riviera. especially in summer when it overflows with tourists. Reviews its history and famous visitors; displays its faux-exotic buildings. its crowded beaches. its trees and monuments; and. pokes fun at the colors women wear and the vagaries of fashion. The film celebrates the use of ""Eden"" as a place name. suggesting that paradise comes to the coast after all are gone. perhaps only on a remote island beach.",Tongueincheek look at the French Riviera especially in summer when it overflows with tourists Reviews its history and famous visitors displays its fauxexotic buildings its crowded beaches its trees and monuments and pokes fun at the colors women wear and the vagaries of fashion The film celebrates the use of Eden as a place name suggesting that paradise comes to the coast after all are gone perhaps only on a remote island beach
283,Century of Birthing,9,An artist struggles to finish his work while a storyline about a cult plays in his head.,An artist struggles to finish his work while a storyline about a cult plays in his head
284,Dock Ellis & The LSD No-No,9,In 2008. a year before the great Dock Ellis died at 63. radio producers Donnell Alexander and Neille Ilel. recorded an interview in which the former Pirate right hander gave a moment by moment account of June 12. 1970. the day he no-hit the San Diego Padres. Using their original radio documentary as the audio and inspiration. Isenberg commissioned an original animation from James Blagden whose incredible black and white illustrations. lo-fi animation and comic timing perfectly complemented Ellisâs masterful storytelling.,In 2008 a year before the great Dock Ellis died at 63 radio producers Donnell Alexander and Neille Ilel recorded an interview in which the former Pirate right hander gave a moment by moment account of June 12 1970 the day he nohit the San Diego Padres Using their original radio documentary as the audio and inspiration Isenberg commissioned an original animation from James Blagden whose incredible black and white illustrations lofi animation and comic timing perfectly complemented Ellisâs masterful storytelling
285,CÃ©sar,9,HonorÃ© Panisse is dying. cheerfully. with friends. wife. and son at his side. He confesses to the priest in front of his friends; he insists that the doctor be truthful. But. he cannot bring himself to tell his son CÃ©sariot that his real father is Marius. the absent son of CÃ©sar. CÃ©sariot's godfather. Panisse leaves that to Fanny. the lad's mother. Dissembling that he's off to see a friend. CÃ©sariot then seeks Marius. now a mechanic in Toulon. Posing as a journalist. CÃ©sariot spends time with Marius and leaves believing tales he is a petty thief. Only after the truth comes out can Marius. Fanny. CÃ©sar. and CÃ©sariot step beyond the falsehoods. benign though they may be.,HonorÃ© Panisse is dying cheerfully with friends wife and son at his side He confesses to the priest in front of his friends he insists that the doctor be truthful But he cannot bring himself to tell his son CÃ©sariot that his real father is Marius the absent son of CÃ©sar CÃ©sariots godfather Panisse leaves that to Fanny the lads mother Dissembling that hes off to see a friend CÃ©sariot then seeks Marius now a mechanic in Toulon Posing as a journalist CÃ©sariot spends time with Marius and leaves believing tales he is a petty thief Only after the truth comes out can Marius Fanny CÃ©sar and CÃ©sariot step beyond the falsehoods benign though they may be
286,Something's Gonna Live,9,"The Los Angeles Times Critics' Pick Somethingâs Gonna Live is an intimate portrait of life. death. friendship and the movies. as recalled by some of Hollywood's greatest cinema artists.
 Academy AwardÂ®-nominated director Daniel Raim (The Man on Lincolnâs Nose). captures the late life coming together of renowned art directors Robert Boyle (North by Northwest. The Birds). Henry Bumstead (To Kill a Mockingbird. The Sting) and Albert Nozaki (The War of the Worlds. The Ten Commandments). storyboard illustrator Harold Michelson (The Graduate. Star Trek: The Motion Picture). and master cinematographers Haskell Wexler (Whoâs Afraid of Virginia Woolf?. Medium Cool) and Conrad Hall (In Cold Blood. Butch Cassidy and the Sundance Kid).  These prolific artists have worked on a total of 400 films. garnering 25 Academy AwardÂ® nominations and 8 wins.","The Los Angeles Times Critics Pick Somethingâs Gonna Live is an intimate portrait of life death friendship and the movies as recalled by some of Hollywoods greatest cinema artists
 Academy AwardÂ®nominated director Daniel Raim The Man on Lincolnâs Nose captures the late life coming together of renowned art directors Robert Boyle North by Northwest The Birds Henry Bumstead To Kill a Mockingbird The Sting and Albert Nozaki The War of the Worlds The Ten Commandments storyboard illustrator Harold Michelson The Graduate Star Trek The Motion Picture and master cinematographers Haskell Wexler Whoâs Afraid of Virginia Woolf Medium Cool and Conrad Hall In Cold Blood Butch Cassidy and the Sundance Kid  These prolific artists have worked on a total of 400 films garnering 25 Academy AwardÂ® nominations and 8 wins"
287,Master and Tatyana,9,Lithuanian photographer. the legend of Soviet Sixties' generation Vitas Luckus tragically passed away in 1987. Yet the life and times of the talented rebel still impassion and lead us to a journey questioning why. at all times. we are wary of those who are really free.,Lithuanian photographer the legend of Soviet Sixties generation Vitas Luckus tragically passed away in 1987 Yet the life and times of the talented rebel still impassion and lead us to a journey questioning why at all times we are wary of those who are really free
288,Bipolar,9,"When Harry Poole tries out a new medication for Bipolar Disorder. he is reborn as ""Edward Grey"". a seductive but dangerous alter ego who dramatically takes over his life. changing the young man and those around him forever.",When Harry Poole tries out a new medication for Bipolar Disorder he is reborn as Edward Grey a seductive but dangerous alter ego who dramatically takes over his life changing the young man and those around him forever
289,Tashi and the Monk,9,This moving documentary profiles a former Buddhist monk who runs a home for orphaned children in the Himalayas. and his relationship with its newest arrival. troubled five-year-old Tashi.,This moving documentary profiles a former Buddhist monk who runs a home for orphaned children in the Himalayas and his relationship with its newest arrival troubled fiveyearold Tashi
290,Mutum,9,Thiago slowly loses his childhood innocence through life's hard lessons.,Thiago slowly loses his childhood innocence through lifes hard lessons
291,Bawdy Tales,9,Locked up in prison and awaiting execution. bored young vagabonds Bernardino (Ninetto Davoli) and Mammone (Franco Citti) pass their time competing in a vulgar storytelling competition. relating indecent accounts about castration. unsavory testicles and an atypical threesome. Not intended for the faint of heart. this audacious piece of moviemaking focuses on tales of jealousy. murder and uncontrollable desires.,Locked up in prison and awaiting execution bored young vagabonds Bernardino Ninetto Davoli and Mammone Franco Citti pass their time competing in a vulgar storytelling competition relating indecent accounts about castration unsavory testicles and an atypical threesome Not intended for the faint of heart this audacious piece of moviemaking focuses on tales of jealousy murder and uncontrollable desires
292,We Need a Vacation,9,It is the end of the school year for the children of a dormitory town. Most of them leave the place for a vacation with their parents but not Lucien and Adama whose parents can't afford the expense. While the big brothers of the housing estate are busy breaking the law Lulu and Adama manage to sneak into their neighbors' trailer. The two stowaways are elated until they reach their destination: a nudist camp...!,It is the end of the school year for the children of a dormitory town Most of them leave the place for a vacation with their parents but not Lucien and Adama whose parents cant afford the expense While the big brothers of the housing estate are busy breaking the law Lulu and Adama manage to sneak into their neighbors trailer The two stowaways are elated until they reach their destination a nudist camp
293,The Kingdom of Solomon,9,Solomon. Prophet and the King. has asked God to give him an ideal kingdom which has never been given to anybody before. He is told to prepare himself and his subjects with evil and unearthly creatures that haunt the men.,Solomon Prophet and the King has asked God to give him an ideal kingdom which has never been given to anybody before He is told to prepare himself and his subjects with evil and unearthly creatures that haunt the men
294,Pinocchio's Christmas,9,Geppetto prepare for Christmas. Pinocchio joins a puppet show to earn money for a present. There he meets and elopes with the beautiful girl puppet Julietta. leaving Geppetto alone and worried.,Geppetto prepare for Christmas Pinocchio joins a puppet show to earn money for a present There he meets and elopes with the beautiful girl puppet Julietta leaving Geppetto alone and worried
295,Making a Killing: The Untold Story of Psychotropic Drugging,9,Psychotropic drugs. Itâs the story of big money-drugs that fuel a $330 billion psychiatric industry. without a single cure. The cost in human terms is even greater-these drugs now kill an estimated 42.000 people every year. And the death count keeps rising. Containing more than 175 interviews with lawyers. mental health experts. the families of victims and the survivors themselves. this riveting documentary rips the mask off psychotropic drugging and exposes a brutal but well-entrenched money-making machine. Before these drugs were introduced in the market. people who had these conditions would not have been given any drugs at all. So it is the branding of a disease and it is the branding of a drug for a treatment of a disease that did not exist before the industry made the disease.,Psychotropic drugs Itâs the story of big moneydrugs that fuel a 330 billion psychiatric industry without a single cure The cost in human terms is even greaterthese drugs now kill an estimated 42000 people every year And the death count keeps rising Containing more than 175 interviews with lawyers mental health experts the families of victims and the survivors themselves this riveting documentary rips the mask off psychotropic drugging and exposes a brutal but wellentrenched moneymaking machine Before these drugs were introduced in the market people who had these conditions would not have been given any drugs at all So it is the branding of a disease and it is the branding of a drug for a treatment of a disease that did not exist before the industry made the disease
296,The Third Reich: The Rise & Fall,9,THIRD REICH: THE RISE &amp; FALL tells the story of Hitler's Germany through rarely seen films of the people who were there. Immersive and evocative. it takes viewers inside the Germany of the 20s. 30s. and early 40s. through the use of rare and never-before-seen home movies. Nazi propaganda films and other contemporaneous material. The narrative consists of personal recollections culled from German's diaries. journals and letters. The end result is an intimate. richly nuanced and authentic portrait of the Third Reich and its people.,THIRD REICH THE RISE amp FALL tells the story of Hitlers Germany through rarely seen films of the people who were there Immersive and evocative it takes viewers inside the Germany of the 20s 30s and early 40s through the use of rare and neverbeforeseen home movies Nazi propaganda films and other contemporaneous material The narrative consists of personal recollections culled from Germans diaries journals and letters The end result is an intimate richly nuanced and authentic portrait of the Third Reich and its people
297,Lightning in a Bottle,9,"On February 7th. 2003. renowned artists across multiple music genres and generations commandeered the stage at New York City's Radio City Music Hall to pay tribute to their common heritage and passion - the blues. Shared with thousands of fans in attendance. legendary performers from roots. rock. jazz and rap joined forces for a once-in-a-lifetime ""Salute To The Blues"" benefit concert whose proceeds went to musical education.",On February 7th 2003 renowned artists across multiple music genres and generations commandeered the stage at New York Citys Radio City Music Hall to pay tribute to their common heritage and passion  the blues Shared with thousands of fans in attendance legendary performers from roots rock jazz and rap joined forces for a onceinalifetime Salute To The Blues benefit concert whose proceeds went to musical education
298,God's Compass,9,Suzanne Waters (Karen Abercrombie) has just passed the baton as the principal of the local high school. Having spent a lifetime teaching life lessons. the journey into retirement is about to bring her one of her greatest lessons. Her lesson plan will come from a troubled young man. Eli. as she invests in his life. Suzanne also becomes a first-time grandmother. and the new life of the baby brings renewed hope to the family as each member discovers their core value in God's path for their lives. As Suzanne reflects back on her life of faithfulness. we are reminded that there are no accidents in God's Kingdom. no chance meetings. no purposeless steps taken.,Suzanne Waters Karen Abercrombie has just passed the baton as the principal of the local high school Having spent a lifetime teaching life lessons the journey into retirement is about to bring her one of her greatest lessons Her lesson plan will come from a troubled young man Eli as she invests in his life Suzanne also becomes a firsttime grandmother and the new life of the baby brings renewed hope to the family as each member discovers their core value in Gods path for their lives As Suzanne reflects back on her life of faithfulness we are reminded that there are no accidents in Gods Kingdom no chance meetings no purposeless steps taken
299,The Last Bolshevik,9,A documentary on Soviet filmmaker Aleksandr Medvedkin. examining his tumultuous career. the rediscovery of his masterpiece Happiness. and Russia's struggles over the course of the 20th Century.,A documentary on Soviet filmmaker Aleksandr Medvedkin examining his tumultuous career the rediscovery of his masterpiece Happiness and Russias struggles over the course of the 20th Century
300,Slingshot Hip Hop,9,The voice of a new generation rocks and rhymes as Palestinian rappers form alternative voices of resistance within the Israeli-Palestinian struggle.,The voice of a new generation rocks and rhymes as Palestinian rappers form alternative voices of resistance within the IsraeliPalestinian struggle
301,The Condemned of Altona,9,A dying German magnate invites his youngest son and daughter-in-law home to discuss the future of the family's shipbuilding empire. There. the daughter-in-law stumbles upon a secret of the family's Nazi past.,A dying German magnate invites his youngest son and daughterinlaw home to discuss the future of the familys shipbuilding empire There the daughterinlaw stumbles upon a secret of the familys Nazi past
302,Fearful Symmetry,9,"A documentary about the making of ""To Kill a Mockingbird"".",A documentary about the making of To Kill a Mockingbird
303,New York: A Documentary Film,9,Ric Burns (brother of the famed documentarian Ken Burns) presents an exhaustive history of New York City from the settling of the area by the Dutch to the attack by terrorists nearly 400 years later. Told in a sentimental tone. Burns weaves a lyrical tale of the great metropolis that encompasses not only the city's streets. but also that of the history of America. Though around fourteen hours in length. this epic documentary presents a thoughtful. entertaining look at our relatively young country. Written by Chris Bogner,Ric Burns brother of the famed documentarian Ken Burns presents an exhaustive history of New York City from the settling of the area by the Dutch to the attack by terrorists nearly 400 years later Told in a sentimental tone Burns weaves a lyrical tale of the great metropolis that encompasses not only the citys streets but also that of the history of America Though around fourteen hours in length this epic documentary presents a thoughtful entertaining look at our relatively young country Written by Chris Bogner
304,Magallanes,9,Magallanes (DamiÃ¡n AlcÃ¡zar) sees his humdrum life turn upside down the day Celina (Magaly Solier). a women he met in the violent years when he was a soldier with the Peruvian Army. jumps into his taxi in a Lima street. This unexpected re-encounter after 25 years with the dark past that unites them prompts Magallanes to embark on a daring plan to help Celina get money and find his own redemption.,Magallanes DamiÃ¡n AlcÃ¡zar sees his humdrum life turn upside down the day Celina Magaly Solier a women he met in the violent years when he was a soldier with the Peruvian Army jumps into his taxi in a Lima street This unexpected reencounter after 25 years with the dark past that unites them prompts Magallanes to embark on a daring plan to help Celina get money and find his own redemption
305,Uncounted,9,UNCOUNTED exposes how the election fraud that altered the outcome of the 2004 election led to even greater fraud in 2006 and now looms as an unbridled threat to the outcome of the 2008 election. The controversial film examines in factual. logical. and yet startling terms how easy it is to change election outcomes and undermine election integrity across the U.S. Beyond increasing the public's awareness. UNCOUNTED inspires greater citizen involvement in fixing a broken electoral system.,UNCOUNTED exposes how the election fraud that altered the outcome of the 2004 election led to even greater fraud in 2006 and now looms as an unbridled threat to the outcome of the 2008 election The controversial film examines in factual logical and yet startling terms how easy it is to change election outcomes and undermine election integrity across the US Beyond increasing the publics awareness UNCOUNTED inspires greater citizen involvement in fixing a broken electoral system
306,When I Grow Up. I'll Be a Kangaroo,9,"The film consists of three parallel stories that are interwoven and played in Vozdovac. In the first story. Braca tries to seduce Iris. a model from the city center. Although they try not to be ""two worlds"" they certainly are. In another story. Dule i Somi. in the football match Ipswich - Manchester. they bet on Ipswich to win because it defends their classmate. The third story takes place on the roof of the skyscraper where Avaks and Hybrid. proponents of the philosophy of ""most cost effective when I'm sitting in the house - no income. but no expenses"". spending the day doing nothing. expecting something to happen. Something happened - an unusual occurrence Avaks saw in the sky...",The film consists of three parallel stories that are interwoven and played in Vozdovac In the first story Braca tries to seduce Iris a model from the city center Although they try not to be two worlds they certainly are In another story Dule i Somi in the football match Ipswich  Manchester they bet on Ipswich to win because it defends their classmate The third story takes place on the roof of the skyscraper where Avaks and Hybrid proponents of the philosophy of most cost effective when Im sitting in the house  no income but no expenses spending the day doing nothing expecting something to happen Something happened  an unusual occurrence Avaks saw in the sky
307,Who Am I This Time?,9,From a short story by Kurt Vonnegut. Christopher Walken is a shy hardware store employee. But whenever he takes a part in a local amateur theater production. he becomes the part completely--while on stage. Susan Sarandon is new in town. a lonely itinerant telephone company employee. On a whim. she auditions for and gets the part of Stella to Walken's Stanley when the theater group does A Streetcar Named Desire. Before anyone realizes the growing affection between Helene and Stanley. she falls deeply in love with the sexy brute. not knowing what the real man is like.,From a short story by Kurt Vonnegut Christopher Walken is a shy hardware store employee But whenever he takes a part in a local amateur theater production he becomes the part completelywhile on stage Susan Sarandon is new in town a lonely itinerant telephone company employee On a whim she auditions for and gets the part of Stella to Walkens Stanley when the theater group does A Streetcar Named Desire Before anyone realizes the growing affection between Helene and Stanley she falls deeply in love with the sexy brute not knowing what the real man is like
308,A Better Place,9,A high school outcast new to town becomes friends with a violent loner still haunted by the death of his parents.,A high school outcast new to town becomes friends with a violent loner still haunted by the death of his parents
309,The Weathering Continent,9,Three adventurers - a warrior. a priest. and a young woman - traverse a land devastated by centuries of environmental calamaties searching only for a way to survive. In their journeys they stumble across first the remains of a band of desperate treasure-hunters. and then the treasure they were seeking: Azec Sistra. the legendeary City of the Dead. Unfortunately. the bandits responsible for slaughtering the treasure-hunters have also found their way to the city. but more worrisome still are the guardians which protect Azec Sistra from those who would violate the spirits at rest there. . .,Three adventurers  a warrior a priest and a young woman  traverse a land devastated by centuries of environmental calamaties searching only for a way to survive In their journeys they stumble across first the remains of a band of desperate treasurehunters and then the treasure they were seeking Azec Sistra the legendeary City of the Dead Unfortunately the bandits responsible for slaughtering the treasurehunters have also found their way to the city but more worrisome still are the guardians which protect Azec Sistra from those who would violate the spirits at rest there  
310,My Class,9,The ostensibly simple story of a sympathetic veteran teacher giving Italian lessons to a weekly class of diverse immigrants is given infinitely more depth and complexity by the manner in which director Daniele Gaglianone renders his story. Blurring the lines between fact and fiction. truth and artifice. and between documentary and drama. Gaglianone has created a film within a film. You see the apparent artifice of Gaglianoneâs crew using professionals. including the noted film actor Valerio Mastandrea as the teacher. interlinked with ârealâ immigrant protagonists. studying the language to improve their chances of employment and of gaining a permanent residence permit. Thus in the course of the lessons there is simultaneously the painful and upsetting relation of the studentsâ personal stories but also humour. as they interact and share their humanity. bridging cultural differences. united in their striving to make a better life for themselves. (Source: LFF programme),The ostensibly simple story of a sympathetic veteran teacher giving Italian lessons to a weekly class of diverse immigrants is given infinitely more depth and complexity by the manner in which director Daniele Gaglianone renders his story Blurring the lines between fact and fiction truth and artifice and between documentary and drama Gaglianone has created a film within a film You see the apparent artifice of Gaglianoneâs crew using professionals including the noted film actor Valerio Mastandrea as the teacher interlinked with ârealâ immigrant protagonists studying the language to improve their chances of employment and of gaining a permanent residence permit Thus in the course of the lessons there is simultaneously the painful and upsetting relation of the studentsâ personal stories but also humour as they interact and share their humanity bridging cultural differences united in their striving to make a better life for themselves Source LFF programme
311,10 MPH,9,Two guys quit stodgy corporate jobs. scrounged up all the savings they could. collected credit cards. and stepped - or better yet - scooted forward to follow their biggest dream: to become filmmakers. Josh Caldwell rode a Segway from Seattle to Boston. while his buddy Hunter Weeks directed a film they both shot about the experience and about the moments leading up to this crazy twist on the Americ,Two guys quit stodgy corporate jobs scrounged up all the savings they could collected credit cards and stepped  or better yet  scooted forward to follow their biggest dream to become filmmakers Josh Caldwell rode a Segway from Seattle to Boston while his buddy Hunter Weeks directed a film they both shot about the experience and about the moments leading up to this crazy twist on the Americ
312,Katyar Kaljat Ghusali,9,Katyar Kaljat Ghusli is a 2015 Marathi film based on a play by the same name. Directed by Subodh Bhave. the film stars Sachin Pilgaonkar. Shankar Mahadevan. and Subodh Bhave in lead roles. The film marks the acting debut for Mahadevan and directorial debut for Bhave. The original play premiered in 1967 in Mumbai. where Hindustani classical vocalist Vasantrao Deshpande played one of the protagonists. In 2010. the play was relaunched with protagonists essayed by Rahul Deshpande. grandson of Vasantrao Deshpande and singer Mahesh Kale. The film's music is composed by ShankarâEhsaanâLoy. and retained some of the songs from the original play composed by Jitendra Abhisheki.,Katyar Kaljat Ghusli is a 2015 Marathi film based on a play by the same name Directed by Subodh Bhave the film stars Sachin Pilgaonkar Shankar Mahadevan and Subodh Bhave in lead roles The film marks the acting debut for Mahadevan and directorial debut for Bhave The original play premiered in 1967 in Mumbai where Hindustani classical vocalist Vasantrao Deshpande played one of the protagonists In 2010 the play was relaunched with protagonists essayed by Rahul Deshpande grandson of Vasantrao Deshpande and singer Mahesh Kale The films music is composed by ShankarâEhsaanâLoy and retained some of the songs from the original play composed by Jitendra Abhisheki
313,You Are My Sunshine,9,A film adaptation of Gu Man's popular novel of two college sweethearts who meet again after years of separation.,A film adaptation of Gu Mans popular novel of two college sweethearts who meet again after years of separation
314,Zapatlela,9,Inspector Mahesh kills a gangster but his spirit enters into a near by doll. Later. a puppetry master receives this doll as a gift but this doll will turn his good life into hell.,Inspector Mahesh kills a gangster but his spirit enters into a near by doll Later a puppetry master receives this doll as a gift but this doll will turn his good life into hell
